Constituency No.,Constituency Name,Candidate Name,Party,Votes,Status,Margin
214,BHAGABANPUR,SANTANU PRAMANIK,Bharatiya Janata Party,130586,won,+ 20878
214,BHAGABANPUR,MANAB KUMAR PARUA,All India Trinamool Congress,109708,lost,-20878
214,BHAGABANPUR,PRATIVA RANI KAR SHASMAL,Revolutionary Socialist Party,3665,lost,-126921
214,BHAGABANPUR,BISWAJIT PANIGRAHI,Indian National Congress,1020,lost,-129566
214,BHAGABANPUR,GOPAL CHANDRA PATRA,Socialist Unity Centre Of India (COMMUNIST),961,lost,-129625
214,BHAGABANPUR,MAKHAN LAL MAHAPATRA,Bahujan Samaj Party,729,lost,-129857
214,BHAGABANPUR,DIBYENDU MAITY,Independent,283,lost,-130303
214,BHAGABANPUR,NOTA,None of the Above,701,,-129885
215,KHEJURI,SUBRATA PAIK,Bharatiya Janata Party,129875,won,+ 32690
215,KHEJURI,RABIN CHANDRA MANDAL,All India Trinamool Congress,97185,lost,-32690
215,KHEJURI,HIMANGSHU DAS,Communist Party of India (Marxist),5365,lost,-124510
215,KHEJURI,ASIT PRAMANIK,Indian National Congress,832,lost,-129043
215,KHEJURI,RABIN MANDAL,Independent,609,lost,-129266
215,KHEJURI,GOSTHO GOPAL DAS,Bahujan Samaj Party,547,lost,-129328
215,KHEJURI,MUKUNDA MONDAL,Independent,507,lost,-129368
215,KHEJURI,PABITRA MONDAL,Socialist Unity Centre Of India (COMMUNIST),348,lost,-129527
215,KHEJURI,SUBRATA PAIK,Independent,252,lost,-129623
215,KHEJURI,GHANASHYAM DAS,Independent,207,lost,-129668
215,KHEJURI,NOTA,None of the Above,601,,-129274
216,KANTHI DAKSHIN,ARUP KUMAR DAS,Bharatiya Janata Party,118219,won,+ 31472
216,KANTHI DAKSHIN,TARUN KUMAR JANA,All India Trinamool Congress,86747,lost,-31472
216,KANTHI DAKSHIN,TEHERAN HOSSAIN,Communist Party of India,3868,lost,-114351
216,KANTHI DAKSHIN,RAJ KUMAR SHEET,Independent,906,lost,-117313
216,KANTHI DAKSHIN,MASUD MALLIK,Indian National Congress,855,lost,-117364
216,KANTHI DAKSHIN,RAFIKUL ISLAM,Socialist Unity Centre Of India (COMMUNIST),372,lost,-117847
216,KANTHI DAKSHIN,HIRALAL MIRDHA,Bahujan Samaj Party,198,lost,-118021
216,KANTHI DAKSHIN,BISWAJIT JANA,Independent,166,lost,-118053
216,KANTHI DAKSHIN,TAPAS KUMAR ADHIKARI,Independent,142,lost,-118077
216,KANTHI DAKSHIN,AJITESH PAHARI,Independent,74,lost,-118145
216,KANTHI DAKSHIN,NOTA,None of the Above,1288,,-116931
217,RAMNAGAR,DR. CHANDRA SEKHAR MONDAL,Bharatiya Janata Party,131808,won,+ 26939
217,RAMNAGAR,AKHIL GIRI,All India Trinamool Congress,104869,lost,-26939
217,RAMNAGAR,ASOKE KUMAR MAITI,Communist Party of India (Marxist),5239,lost,-126569
217,RAMNAGAR,NARAYAN BARMAN,Socialist Unity Centre Of India (COMMUNIST),635,lost,-131173
217,RAMNAGAR,CHANDRA SEKHAR DEY,Independent,627,lost,-131181
217,RAMNAGAR,SRIKRISHNA BHUNIA,Independent,214,lost,-131594
217,RAMNAGAR,AHAMADULLAH KHAN MD.,Independent,173,lost,-131635
217,RAMNAGAR,NOTA,None of the Above,1277,,-130531
218,EGRA,ADHIKARI DIBYENDU,Bharatiya Janata Party,142670,won,+ 25692
218,EGRA,TARUN KUMAR MAITY,All India Trinamool Congress,116978,lost,-25692
218,EGRA,SUBRATA PANDA,Communist Party of India (Marxist),5736,lost,-136934
218,EGRA,ANJAN KUMAR PATTANAYAK,Indian National Congress,1760,lost,-140910
218,EGRA,SANATAN GIRI,Socialist Unity Centre Of India (COMMUNIST),968,lost,-141702
218,EGRA,SK ARIF IKBAL,Independent,539,lost,-142131
218,EGRA,NOTA,None of the Above,722,,-141948
219,DANTAN,AJIT KUMAR JANA,Bharatiya Janata Party,110259,won,+ 10376
219,DANTAN,MANIK MAITI,All India Trinamool Congress,99883,lost,-10376
219,DANTAN,SHYAMAL KANTI DASPATTANAYEK,Communist Party of India,3580,lost,-106679
219,DANTAN,SUBHASH DAS,Socialist Unity Centre Of India (COMMUNIST),1189,lost,-109070
219,DANTAN,UTPAL DATTA,Indian National Congress,1109,lost,-109150
219,DANTAN,MAIDUL HODA,Aam Janata Unnayan party,624,lost,-109635
219,DANTAN,AJIT KUMAR KANANGO,Independent,519,lost,-109740
219,DANTAN,NOTA,None of the Above,1211,,-109048
220,NAYAGRAM,AMIYA KISKU,Bharatiya Janata Party,100857,won,+ 6424
220,NAYAGRAM,DULAL MURMU,All India Trinamool Congress,94433,lost,-6424
220,NAYAGRAM,DR. PULIN BIHARI BASKE,Communist Party of India (Marxist),5338,lost,-95519
220,NAYAGRAM,BANKA CHAND MANDI,Independent,1305,lost,-99552
220,NAYAGRAM,PRASANTA MURMU,Indian National Congress,899,lost,-99958
220,NAYAGRAM,DILIP KUMAR KISKU,Independent,535,lost,-100322
220,NAYAGRAM,DHIREN MURMU,Independent,511,lost,-100346
220,NAYAGRAM,KALICHARAN BESHRA,Socialist Unity Centre Of India (COMMUNIST),508,lost,-100349
220,NAYAGRAM,JITEN SAREN,Independent,437,lost,-100420
220,NAYAGRAM,NOTA,None of the Above,2890,,-97967
221,GOPIBALLAVPUR,RAJESH MAHATA,Bharatiya Janata Party,114683,won,+ 26675
221,GOPIBALLAVPUR,AJIT MAHATA,All India Trinamool Congress,88008,lost,-26675
221,GOPIBALLAVPUR,BIKASH SHARANGI,Communist Party of India,3149,lost,-111534
221,GOPIBALLAVPUR,SOURAV GHOSH,Indian National Congress,1521,lost,-113162
221,GOPIBALLAVPUR,SUBHASH MAHATO,Independent,1209,lost,-113474
221,GOPIBALLAVPUR,KANAILAL RAUT,Independent,677,lost,-114006
221,GOPIBALLAVPUR,AJIT MAHATO,Independent,660,lost,-114023
221,GOPIBALLAVPUR,BIMAL PAL,Independent,529,lost,-114154
221,GOPIBALLAVPUR,DHARMAPAL BISUI,Socialist Unity Centre Of India (COMMUNIST),415,lost,-114268
221,GOPIBALLAVPUR,NOTA,None of the Above,2532,,-112151
222,JHARGRAM,LAKSHMI KANTA SAU,Bharatiya Janata Party,120877,won,+ 38147
222,JHARGRAM,MONGAL SAREN,All India Trinamool Congress,82730,lost,-38147
222,JHARGRAM,ARJUN KUMAR MAHATA,Communist Party of India (Marxist),6604,lost,-114273
222,JHARGRAM,PRASENJIT DE,Indian National Congress,1506,lost,-119371
222,JHARGRAM,SUNDAR MOHAN MURMU,Bahujan Samaj Party,1356,lost,-119521
222,JHARGRAM,PRABIR MAHATA,Independent,1250,lost,-119627
222,JHARGRAM,ASHOKE MAHATA,Independent,1010,lost,-119867
222,JHARGRAM,PRABIR MANDI,Independent,1008,lost,-119869
222,JHARGRAM,SUBHASIS KARAK,Independent,754,lost,-120123
222,JHARGRAM,ABHIJIT SINGHA,Independent,668,lost,-120209
222,JHARGRAM,SUBHAS CHANDRA SINGHA,Socialist Unity Centre Of India (COMMUNIST),530,lost,-120347
222,JHARGRAM,JOYRAM CHALAK,Amra Bangalee,385,lost,-120492
222,JHARGRAM,NOTA,None of the Above,2262,,-118615
223,KESHIARY,BHADRA HEMRAM,Bharatiya Janata Party,113713,won,+ 15887
223,KESHIARY,RAMJIBAN MANDI,All India Trinamool Congress,97826,lost,-15887
223,KESHIARY,MALINA MURMU,Communist Party of India (Marxist),6248,lost,-107465
223,KESHIARY,KALACHAND TUDU,Indian National Congress,1319,lost,-112394
223,KESHIARY,SUNIL SINGH,Socialist Unity Centre Of India (COMMUNIST),1233,lost,-112480
223,KESHIARY,TAPAN KUMAR SING,Bahujan Samaj Party,936,lost,-112777
223,KESHIARY,CHUNARAM SAREN,Independent,838,lost,-112875
223,KESHIARY,LAKSHMI KANTA HEMBRAM,Independent,391,lost,-113322
223,KESHIARY,NOTA,None of the Above,1338,,-112375
224,KHARAGPUR SADAR,DILIP GHOSH,Bharatiya Janata Party,89885,won,+ 30506
224,KHARAGPUR SADAR,PRADIP SARKAR,All India Trinamool Congress,59379,lost,-30506
224,KHARAGPUR SADAR,MADHUSUDAN ROY,Communist Party of India (Marxist),5451,lost,-84434
224,KHARAGPUR SADAR,DR. PAPIYA CHAKRABORTY,Indian National Congress,2879,lost,-87006
224,KHARAGPUR SADAR,SURANJAN MAHAPATRA,Socialist Unity Centre Of India (COMMUNIST),806,lost,-89079
224,KHARAGPUR SADAR,GOKUL KHATICK,Bahujan Samaj Party,775,lost,-89110
224,KHARAGPUR SADAR,BISHNU KUMAR SAHU,Independent,563,lost,-89322
224,KHARAGPUR SADAR,T. ANIL SINGH,Rashtriya Lok Janshakti Party,355,lost,-89530
224,KHARAGPUR SADAR,AZFAR ALI KHAN,Independent,278,lost,-89607
224,KHARAGPUR SADAR,NOTA,None of the Above,1290,,-88595
225,NARAYANGARH,GIRI RAMAPRASAD,Bharatiya Janata Party,116050,won,+ 20367
225,NARAYANGARH,PRATIBHA MAITI,All India Trinamool Congress,95683,lost,-20367
225,NARAYANGARH,TAPAS SINHA,Communist Party of India (Marxist),7345,lost,-108705
225,NARAYANGARH,SHYAMA PADA JANA,Socialist Unity Centre Of India (COMMUNIST),1558,lost,-114492
225,NARAYANGARH,SK ALAM HOSSAIN,Indian National Congress,1367,lost,-114683
225,NARAYANGARH,TAPAS MAHAPATRA,Independent,905,lost,-115145
225,NARAYANGARH,NITYANANDA RAUT,Independent,348,lost,-115702
225,NARAYANGARH,AMIT DAS,Independent,246,lost,-115804
225,NARAYANGARH,SK NURUL HASAN,Aam Janata Unnayan party,209,lost,-115841
225,NARAYANGARH,GANESH KISKU,Bharatiya Nyay-Adhikar Raksha Party,181,lost,-115869
225,NARAYANGARH,NOTA,None of the Above,1651,,-114399
226,SABANG,AMAL KUMAR PANDA,Bharatiya Janata Party,127783,won,+ 11136
226,SABANG,MANAS RANJAN BHUNIA,All India Trinamool Congress,116647,lost,-11136
226,SABANG,NAKUL CHANDRA BERA,Communist Party of India (Marxist),6978,lost,-120805
226,SABANG,ALAK KUMAR SAMAI,Indian National Congress,2272,lost,-125511
226,SABANG,TAPAN KUMAR SASMAL,Socialist Unity Centre Of India (COMMUNIST),1221,lost,-126562
226,SABANG,DEBASHIS BARMAN,Amra Bangalee,630,lost,-127153
226,SABANG,RAFIK ALI SAIYED,Independent,286,lost,-127497
226,SABANG,GOPINATH DEY,Independent,218,lost,-127565
226,SABANG,NOTA,None of the Above,1305,,-126478
227,PINGLA,SWAGATA MANNA,Bharatiya Janata Party,124189,won,+ 18480
227,PINGLA,AJIT MAITY,All India Trinamool Congress,105709,lost,-18480
227,PINGLA,ASHOK SEN,Communist Party of India,6423,lost,-117766
227,PINGLA,SUSANTA MANDAL,Indian National Congress,1668,lost,-122521
227,PINGLA,TAJAMBUL HOSSAIN KHAN,Independent,953,lost,-123236
227,PINGLA,TAPAN DHAL,Independent,430,lost,-123759
227,PINGLA,BASUDEB PAN,Independent,399,lost,-123790
227,PINGLA,SISHIR KUMAR MANNA,Socialist Unity Centre Of India (COMMUNIST),271,lost,-123918
227,PINGLA,KAZI ABDUR RASHID,Aam Janata Unnayan party,269,lost,-123920
227,PINGLA,ASISH KUMAR BHUNIA,Independent,146,lost,-124043
227,PINGLA,AJIT MAITI,Independent,124,lost,-124065
227,PINGLA,NOTA,None of the Above,2173,,-122016
228,KHARAGPUR,DINEN ROY,All India Trinamool Congress,98320,won,+ 2872
228,KHARAGPUR,TAPAN BHUYA,Bharatiya Janata Party,95448,lost,-2872
228,KHARAGPUR,SK SAJAHAN ALI,Communist Party of India (Marxist),7951,lost,-90369
228,KHARAGPUR,UJJAL MUKHERJEE,Indian National Congress,1570,lost,-96750
228,KHARAGPUR,MANMATHA NATH DOLAI,Independent,1429,lost,-96891
228,KHARAGPUR,SUJOY GHOSH,Independent,889,lost,-97431
228,KHARAGPUR,AKSHAY KHAN,Socialist Unity Centre Of India (COMMUNIST),613,lost,-97707
228,KHARAGPUR,AVIJIT ROY,Independent,461,lost,-97859
228,KHARAGPUR,BARSHA MAHAPATRA,Amra Bangalee,344,lost,-97976
228,KHARAGPUR,NOTA,None of the Above,1535,,-96785
229,DEBRA,SUBHASHIS OM,Bharatiya Janata Party,114463,won,+ 28801
229,DEBRA,RAJIB BANERJEE,All India Trinamool Congress,85662,lost,-28801
229,DEBRA,SUMIT ADHIKARI,Communist Party of India (Marxist),12473,lost,-101990
229,DEBRA,CHITTA RANJAN JANA,Indian National Congress,1337,lost,-113126
229,DEBRA,SELIM KHAN,Rashtriya Lok Janshakti Party,906,lost,-113557
229,DEBRA,AMAL KUMAR HUI,Independent,751,lost,-113712
229,DEBRA,DIPANKAR MAITY,Socialist Unity Centre Of India (COMMUNIST),402,lost,-114061
229,DEBRA,SHUBHAMOY NAYEK,Bharatiya Nyay-Adhikar Raksha Party,242,lost,-114221
229,DEBRA,NOTA,None of the Above,1087,,-113376
230,DASPUR,TAPAN KUMAR DUTTA,Bharatiya Janata Party,133071,won,+ 32134
230,DASPUR,ASHIS HUDAIT,All India Trinamool Congress,100937,lost,-32134
230,DASPUR,RANAJIT PAL,Communist Party of India (Marxist),12278,lost,-120793
230,DASPUR,KOUSIK GOSWAMI,Indian National Congress,1665,lost,-131406
230,DASPUR,ASHIS HUTAIT,Independent,878,lost,-132193
230,DASPUR,MRINAL KANTI MANDAL,Bahujan Samaj Party,671,lost,-132400
230,DASPUR,JAGADISH MONDAL ADHIKARY,Socialist Unity Centre Of India (COMMUNIST),438,lost,-132633
230,DASPUR,BASUDEB DINDA,Independent,398,lost,-132673
230,DASPUR,NOTA,None of the Above,1711,,-131360
231,GHATAL,SITAL KAPAT,Bharatiya Janata Party,131550,won,+ 37657
231,GHATAL,SHYAMALI SARDAR,All India Trinamool Congress,93893,lost,-37657
231,GHATAL,SANTI NATH SATICK,Communist Party of India (Marxist),9352,lost,-122198
231,GHATAL,KABERI DOLUI,Indian National Congress,1867,lost,-129683
231,GHATAL,RUMA PATRA,Independent,1374,lost,-130176
231,GHATAL,SUJAY DOLAI,Bahujan Samaj Party,991,lost,-130559
231,GHATAL,KHAGENDRA DOLAI,Independent,744,lost,-130806
231,GHATAL,BIVASH SINGHA,Independent,484,lost,-131066
231,GHATAL,NARUGOPAL DOLUI,Socialist Unity Centre Of India (COMMUNIST),462,lost,-131088
231,GHATAL,NOTA,None of the Above,1308,,-130242
232,CHANDRAKONA,SUKANTA DOLUI,Bharatiya Janata Party,140517,won,+ 33481
232,CHANDRAKONA,DOLOI SURJYA KANTA,All India Trinamool Congress,107036,lost,-33481
232,CHANDRAKONA,SUPARNA DOLAI MALLICK,Communist Party of India (Marxist),12142,lost,-128375
232,CHANDRAKONA,MONIKA MIDYA,Indian National Congress,2500,lost,-138017
232,CHANDRAKONA,ANJAN JANA,Socialist Unity Centre Of India (COMMUNIST),700,lost,-139817
232,CHANDRAKONA,NOTA,None of the Above,1795,,-138722
233,GARBETA,PRADIP LODHA,Bharatiya Janata Party,113752,won,+ 26225
233,GARBETA,UTTARA SINGHA (HAZRA),All India Trinamool Congress,87527,lost,-26225
233,GARBETA,GHOSH TAPAN KUMAR,Communist Party of India (Marxist),14238,lost,-99514
233,GARBETA,SIDDHARTHA BISHAI,Indian National Congress,1859,lost,-111893
233,GARBETA,MADHURI MAITI,Independent,959,lost,-112793
233,GARBETA,SK. MD. MOKHDUM,Independent,663,lost,-113089
233,GARBETA,TAPAS KUMAR MISHRA,Socialist Unity Centre Of India (COMMUNIST),596,lost,-113156
233,GARBETA,NOTA,None of the Above,2455,,-111297
234,SALBONI,BIMAN MAHATA,Bharatiya Janata Party,132856,won,+ 15243
234,SALBONI,SRIKANTA MAHATA,All India Trinamool Congress,117613,lost,-15243
234,SALBONI,MOHAN TUDU,All India Secular Front,8635,lost,-124221
234,SALBONI,ARUP MUKHERJEE,Indian National Congress,2697,lost,-130159
234,SALBONI,JHARNA JANA,Socialist Unity Centre Of India (COMMUNIST),1758,lost,-131098
234,SALBONI,ATANU MAJI,Independent,995,lost,-131861
234,SALBONI,NOTA,None of the Above,1921,,-130935
235,KESHPUR,SEULI SAHA,All India Trinamool Congress,143123,won,+ 50105
235,KESHPUR,SUVENDU SAMANTA,Bharatiya Janata Party,93018,lost,-50105
235,KESHPUR,GURUPADA MONDAL,Communist Party of India (Marxist),10432,lost,-132691
235,KESHPUR,KAMAL KISHOR,Indian National Congress,1836,lost,-141287
235,KESHPUR,AJOY DOME,Independent,1832,lost,-141291
235,KESHPUR,HARADHAN SING,Socialist Unity Centre Of India (COMMUNIST),1560,lost,-141563
235,KESHPUR,ARUN KARAN,Independent,609,lost,-142514
235,KESHPUR,NOTA,None of the Above,1553,,-141570
236,MEDINIPUR,SANKAR KUMAR GUCHHAIT,Bharatiya Janata Party,133041,won,+ 38747
236,MEDINIPUR,SUJOY HAZRA,All India Trinamool Congress,94294,lost,-38747
236,MEDINIPUR,MANIKUNTAL KHAMRAI,Communist Party of India,7649,lost,-125392
236,MEDINIPUR,SAMBHUNATH CHATTOPADHYAY,Indian National Congress,2193,lost,-130848
236,MEDINIPUR,SUSHRITA SAREN,Socialist Unity Centre Of India (COMMUNIST),1386,lost,-131655
236,MEDINIPUR,SK. MAFIZUL HAQUE,Independent,1105,lost,-131936
236,MEDINIPUR,PRONAB KUMAR BISWAS,Bahujan Samaj Party,1017,lost,-132024
236,MEDINIPUR,SHANKAR CHAKRABORTY,Independent,815,lost,-132226
236,MEDINIPUR,SALEHA BEGUM,Rashtriya Lok Janshakti Party,621,lost,-132420
236,MEDINIPUR,SHASHANKA PATRA,Amra Bangalee,337,lost,-132704
236,MEDINIPUR,NOTA,None of the Above,1628,,-131413
237,BINPUR,DR. PRANAT TUDU,Bharatiya Janata Party,107238,won,+ 22977
237,BINPUR,BIRBAHA HANSDA,All India Trinamool Congress,84261,lost,-22977
237,BINPUR,RABINDRANATH SARDAR,Communist Party of India (Marxist),5619,lost,-101619
237,BINPUR,GOLAPI SAREN,Indian National Congress,2040,lost,-105198
237,BINPUR,BHOLANATH SARDAR,Bahujan Samaj Party,1908,lost,-105330
237,BINPUR,MRITYUNJAY SAREN,Independent,1406,lost,-105832
237,BINPUR,SAMAY HANSDA,Independent,1339,lost,-105899
237,BINPUR,BHIM SAREN,Independent,924,lost,-106314
237,BINPUR,RAJIB MUDI,Socialist Unity Centre Of India (COMMUNIST),665,lost,-106573
237,BINPUR,NOTA,None of the Above,2679,,-104559
238,BANDWAN,LABSEN BASKEY,Bharatiya Janata Party,134080,won,+ 29577
238,BANDWAN,RAJIB LOCHAN SAREN,All India Trinamool Congress,104503,lost,-29577
238,BANDWAN,RATHU SINGH,Communist Party of India (Marxist),15474,lost,-118606
238,BANDWAN,SITEN MANDI,Indian National Congress,2833,lost,-131247
238,BANDWAN,UMESH CHANDRA BASKEY,Ambedkarite Party of India,2210,lost,-131870
238,BANDWAN,TIKARAM HEMBRAM,Bahujan Samaj Party,1895,lost,-132185
238,BANDWAN,BIJAY KUMAR MANDI,Independent,1249,lost,-132831
238,BANDWAN,SOBHARAM MURMU,Independent,1154,lost,-132926
238,BANDWAN,NOTA,None of the Above,2780,,-131300
239,BALARAMPUR,JALADHAR MAHATO,Bharatiya Janata Party,118421,won,+ 35051
239,BALARAMPUR,SHANTIRAM MAHATO,All India Trinamool Congress,83370,lost,-35051
239,BALARAMPUR,NAMITA MAHATO,Communist Party of India (Marxist),6575,lost,-111846
239,BALARAMPUR,SUKANTA MAHATO,Indian National Congress,2830,lost,-115591
239,BALARAMPUR,ANANDI TUDU,Bahujan Samaj Party,1698,lost,-116723
239,BALARAMPUR,SITARAM HANSDA,Ambedkarite Party of India,1630,lost,-116791
239,BALARAMPUR,RABILAL MANDI,Independent,1077,lost,-117344
239,BALARAMPUR,SHARAT SAHIS,Rashtriya Lok Janshakti Party,685,lost,-117736
239,BALARAMPUR,BHOLANATH MURMMU,Socialist Unity Centre Of India (COMMUNIST),656,lost,-117765
239,BALARAMPUR,AJAY GORAIN,Independent,630,lost,-117791
239,BALARAMPUR,NOTA,None of the Above,2374,,-116047
240,BAGHMUNDI,RAHIDAS MAHATO,Bharatiya Janata Party,112663,won,+ 40817
240,BAGHMUNDI,SUSHANTA MAHATO,All India Trinamool Congress,71846,lost,-40817
240,BAGHMUNDI,NEPAL CHANDRA MAHATO,Indian National Congress,31686,lost,-80977
240,BAGHMUNDI,PARIMAL KUMAR,All India Forward Bloc,4782,lost,-107881
240,BAGHMUNDI,MANOJ KUMAR MAHATO,Jharkhand Loktantrik Krantikari Morcha,1757,lost,-110906
240,BAGHMUNDI,MIHIR CHANDRA MAHATO,Independent,1315,lost,-111348
240,BAGHMUNDI,PARITOSH SINGH BABU,Socialist Unity Centre Of India (COMMUNIST),1127,lost,-111536
240,BAGHMUNDI,TUSHAR MAHATO,Independent,990,lost,-111673
240,BAGHMUNDI,SUMAN KUMAR SINGHA,Independent,691,lost,-111972
240,BAGHMUNDI,UJJWAL PARAMANIK,Independent,433,lost,-112230
240,BAGHMUNDI,PASHUPATI MAHATO,Amra Bangalee,410,lost,-112253
240,BAGHMUNDI,NOTA,None of the Above,2437,,-110226
241,JOYPUR,BISWAJIT MAHATO,Bharatiya Janata Party,104668,won,+ 22218
241,JOYPUR,ARJUN MAHATO,All India Trinamool Congress,82450,lost,-22218
241,JOYPUR,PHANIBHUSHAN KUMAR,Indian National Congress,23263,lost,-81405
241,JOYPUR,DIBYAJOTI SINGH DEO,Jharkhand Loktantrik Krantikari Morcha,9152,lost,-95516
241,JOYPUR,DHIRENDRANATH MAHATO,All India Forward Bloc,5805,lost,-98863
241,JOYPUR,ASHOK KUMAR MURMU,Independent,1185,lost,-103483
241,JOYPUR,SUPHAL CHANDRA KUMAR,Socialist Unity Centre Of India (COMMUNIST),986,lost,-103682
241,JOYPUR,SHAKTI PADA GORAIN,Amra Bangalee,849,lost,-103819
241,JOYPUR,ANIMESH MAHATO,Independent,819,lost,-103849
241,JOYPUR,JOYRAM MURMU,Independent,787,lost,-103881
241,JOYPUR,NOTA,None of the Above,3239,,-101429
242,PURULIA,SUDIP KUMAR MUKHERJEE,Bharatiya Janata Party,128454,won,+ 49253
242,PURULIA,SUJOY BANERJEE,All India Trinamool Congress,79201,lost,-49253
242,PURULIA,SAYANTAN GHOSH,Communist Party of India (Marxist),10675,lost,-117779
242,PURULIA,DIBYAJYOTI PRASAD SINGH DEO,Indian National Congress,4367,lost,-124087
242,PURULIA,SHOBHA MAHATO,Socialist Unity Centre Of India (COMMUNIST),1335,lost,-127119
242,PURULIA,MATHAN CHANDRA MAHATO,Bahujan Mukti Party,908,lost,-127546
242,PURULIA,DHIREN RAJAK,Bharateeya Manavadhikar party,900,lost,-127554
242,PURULIA,PINTU BAURI,Independent,639,lost,-127815
242,PURULIA,PARTHA BAURI,Bahujan Samaj Party,611,lost,-127843
242,PURULIA,PIJUSH KANTI RAJAK,Independent,586,lost,-127868
242,PURULIA,BIDESH CHANDRA PAUL,Rashtriya Lok Janshakti Party,521,lost,-127933
242,PURULIA,NAGESWAR MAHATO,Amra Bangalee,401,lost,-128053
242,PURULIA,NIROD BARAN OJHA,Party for Democratic Socialism,327,lost,-128127
242,PURULIA,NOTA,None of the Above,1728,,-126726
243,MANBAZAR,MAYNA MURMU,Bharatiya Janata Party,120487,won,+ 27283
243,MANBAZAR,SANDHYA RANI TUDU,All India Trinamool Congress,93204,lost,-27283
243,MANBAZAR,SHANTIMANI MURMU,Communist Party of India (Marxist),13410,lost,-107077
243,MANBAZAR,SAMBARI MAHALI,Indian National Congress,2037,lost,-118450
243,MANBAZAR,MAMATA HANSDA (MANDI),Bahujan Samaj Party,1787,lost,-118700
243,MANBAZAR,AMULYA SAREN,Independent,1669,lost,-118818
243,MANBAZAR,RANJIT KUMAR HANSDA,Aam Janata Unnayan party,947,lost,-119540
243,MANBAZAR,SWAPAN KUMAR MURMU,Socialist Unity Centre Of India (COMMUNIST),815,lost,-119672
243,MANBAZAR,NOTA,None of the Above,2111,,-118376
244,KASHIPUR,KAMALA KANTA HANSDA,Bharatiya Janata Party,106571,won,+ 21276
244,KASHIPUR,SOUMEN BELTHARIA,All India Trinamool Congress,85295,lost,-21276
244,KASHIPUR,BAURI SULEKHA,Communist Party of India (Marxist),10818,lost,-95753
244,KASHIPUR,SUBHAS CHANDRA MAHATA,Indian National Congress,2304,lost,-104267
244,KASHIPUR,DIPAK MAHATO,Socialist Unity Centre Of India (COMMUNIST),1476,lost,-105095
244,KASHIPUR,SUBHADIP PARAMANIK,Independent,1148,lost,-105423
244,KASHIPUR,MIHIR KUMAR BAURI,Independent,1022,lost,-105549
244,KASHIPUR,SHANTIPRIYA SAREN,Independent,543,lost,-106028
244,KASHIPUR,NOTA,None of the Above,2797,,-103774
245,PARA,NADIAR CHAND BOURI,Bharatiya Janata Party,113488,won,+ 33721
245,PARA,MANIK CHANDRA BAURI,All India Trinamool Congress,79767,lost,-33721
245,PARA,ALOKE KUMAR BAURI,Communist Party of India (Marxist),10419,lost,-103069
245,PARA,FALGUNI BAURI,Indian National Congress,2887,lost,-110601
245,PARA,SHAKTIPADA SEN,Independent,1482,lost,-112006
245,PARA,JAGANNATH BAURI,Socialist Unity Centre Of India (COMMUNIST),1273,lost,-112215
245,PARA,MITHUN BAURI,Bahujan Samaj Party,1132,lost,-112356
245,PARA,BHASKAR MANDAL,Independent,1108,lost,-112380
245,PARA,ASHOK RUHIDAS,Independent,1104,lost,-112384
245,PARA,SUDARSHAN RAJWAR,Rastriya Aam Jan Seva Party,498,lost,-112990
245,PARA,NOTA,None of the Above,2788,,-110700
246,RAGHUNATHPUR,MAMONI BAURI,Bharatiya Janata Party,127628,won,+ 44059
246,RAGHUNATHPUR,HAZARI BOURI,All India Trinamool Congress,83569,lost,-44059
246,RAGHUNATHPUR,GANESH BOURI,Communist Party of India (Marxist),10685,lost,-116943
246,RAGHUNATHPUR,SANDHYA BAURI,Indian National Congress,3065,lost,-124563
246,RAGHUNATHPUR,ANIL BAURI,Socialist Unity Centre Of India (COMMUNIST),2514,lost,-125114
246,RAGHUNATHPUR,DHARANI DHAR BAURI,Independent,1378,lost,-126250
246,RAGHUNATHPUR,MAHADEB BAURI,Bahujan Samaj Party,1205,lost,-126423
246,RAGHUNATHPUR,MAMANI BOURI,Independent,1186,lost,-126442
246,RAGHUNATHPUR,NOTA,None of the Above,3201,,-124427
247,SALTORA,CHANDANA BAURI,Bharatiya Janata Party,115180,won,+ 32135
247,SALTORA,UTTAM BAURI,All India Trinamool Congress,83045,lost,-32135
247,SALTORA,NANDADULAL BAURI,Communist Party of India (Marxist),10500,lost,-104680
247,SALTORA,AMARKANTA MANDAL,Indian National Congress,3103,lost,-112077
247,SALTORA,DIPEN BAURI,Socialist Unity Centre Of India (COMMUNIST),2023,lost,-113157
247,SALTORA,ADITYA KUMAR BAURI,Independent,1869,lost,-113311
247,SALTORA,NOTA,None of the Above,2771,,-112409
248,CHHATNA,SATYANARAYAN MUKHOPADHYAY,Bharatiya Janata Party,125972,won,+ 47174
248,CHHATNA,SWAPAN KUMAR MONDAL,All India Trinamool Congress,78798,lost,-47174
248,CHHATNA,RAJIB LOCHAN KAR,Revolutionary Socialist Party,5934,lost,-120038
248,CHHATNA,PARTHA PRATIM BOSE,Indian National Congress,2359,lost,-123613
248,CHHATNA,RAFIK DALAL,Rashtriya Lok Janshakti Party,2155,lost,-123817
248,CHHATNA,MADHU SUDAN MANDAL,Independent,1762,lost,-124210
248,CHHATNA,ABINASH HANSDA,Socialist Unity Centre Of India (COMMUNIST),1653,lost,-124319
248,CHHATNA,DHANESWAR HANSDA,Aam Janata Unnayan party,736,lost,-125236
