Constituency No.,Constituency Name,Candidate Name,Party,Votes,Status,Margin
26,SILIGURI,MAMATA DAS,Amra Bangalee,251,lost,-120509
26,SILIGURI,DR. SHAHRIAR ALAM,Socialist Unity Centre Of India (COMMUNIST),245,lost,-120515
26,SILIGURI,SUNIL PANDIT,Independent,226,lost,-120534
26,SILIGURI,NOTA,None of the Above,1224,,-119536
27,PHANSIDEWA,DURGA MURMU,Bharatiya Janata Party,118241,won,+ 45263
27,PHANSIDEWA,REENA TOPNO EKKA,All India Trinamool Congress,72978,lost,-45263
27,PHANSIDEWA,NAVANEETA TIRKEY,Indian National Congress,4948,lost,-113293
27,PHANSIDEWA,AMIT KUMAR LAKRA,Independent,3503,lost,-114738
27,PHANSIDEWA,SUMANTI EKKA,Communist Party of India (Marxist-Leninist) (Liberation),2229,lost,-116012
27,PHANSIDEWA,BAISHAKHI RAVA ROY,Independent,1769,lost,-116472
27,PHANSIDEWA,RENUKA MARDI,Aam Janata Unnayan party,1090,lost,-117151
27,PHANSIDEWA,SUNITA MURMU,Socialist Unity Centre Of India (COMMUNIST),781,lost,-117460
27,PHANSIDEWA,NOTA,None of the Above,2193,,-116048
28,CHOPRA,HAMIDUL RAHAMAN,All India Trinamool Congress,120986,won,+ 69124
28,CHOPRA,SANKAR ADHIKARI,Bharatiya Janata Party,51862,lost,-69124
28,CHOPRA,ZAKIR ABEDIN,Indian National Congress,25565,lost,-95421
28,CHOPRA,MAKLESWAR RAHAMAN,Communist Party of India (Marxist),5816,lost,-115170
28,CHOPRA,MD NAZIM SARIF,Aam Janata Unnayan party,2366,lost,-118620
28,CHOPRA,AJOY KUMAR SINHA,Amra Bangalee,1492,lost,-119494
28,CHOPRA,MD NASIRUDDIN,Independent,1250,lost,-119736
28,CHOPRA,MD PARBEEZ ALAM,Independent,601,lost,-120385
28,CHOPRA,NOTA,None of the Above,1225,,-119761
29,ISLAMPUR,AGARWAL KANAIA LAL,All India Trinamool Congress,108117,won,+ 40063
29,ISLAMPUR,CHITRAJIT ROY,Bharatiya Janata Party,68054,lost,-40063
29,ISLAMPUR,MD. SAMI KHAN,Communist Party of India (Marxist),4237,lost,-103880
29,ISLAMPUR,GUDDY RIAZ,Indian National Congress,1391,lost,-106726
29,ISLAMPUR,MD HASHIBUR RAHAMAN,Independent,754,lost,-107363
29,ISLAMPUR,SOURAV SARKAR,Independent,368,lost,-107749
29,ISLAMPUR,RUPA SARKAR,Bahujan Samaj Party,264,lost,-107853
29,ISLAMPUR,MD. TOUSIQUE REZA,Independent,240,lost,-107877
29,ISLAMPUR,BIRENDRA NATH SINHA,Socialist Unity Centre Of India (COMMUNIST),163,lost,-107954
29,ISLAMPUR,MD. ZIAUL HAQUE CHOWDHURY,Aam Janata Unnayan party,143,lost,-107974
29,ISLAMPUR,NEYAZ IMAM,Independent,111,lost,-108006
29,ISLAMPUR,KAMAL MAJUMDAR,Independent,99,lost,-108018
29,ISLAMPUR,NOTA,None of the Above,2020,,-106097
30,GOALPOKHAR,MD GHULAM RABBANI,All India Trinamool Congress,122105,won,+ 83790
30,GOALPOKHAR,SARAJIT BISWAS,Bharatiya Janata Party,38315,lost,-83790
30,GOALPOKHAR,MD. GHULAM SARWAR,Independent,14495,lost,-107610
30,GOALPOKHAR,MASOOD MD. NASEEM AHSEN,Indian National Congress,2966,lost,-119139
30,GOALPOKHAR,SHAMBHU LAL ROY,Swaraj India,1471,lost,-120634
