West Bengal 2026 — SIR & Adjudication Data by Assembly Constituency,,,,,,,,,,,,,
"Source: konkomaji/wb-election-2026-intelligence (GitHub, MIT License) — compiled from CEO West Bengal / ECI Adjudication Report, April 2026. Data as of ~10 Apr 2026.",,,,,,,,,,,,,
AC No.,Constituency,District,Phase,Electors 2021,Electors 2024,SIR Roll Total,SIR ? vs 2024,SIR ?%,Risk Flag,Under Adjudication,Found Eligible,SIR 27 lakh deletions,Eligible %
120,Deganga,North 24 Pgs,Phase 2 (29 Apr),"2,43,254","2,52,267","2,43,490","-8,777",-348.0%,—,"36,639","31,000","5,634",84.6%
121,Haroa,North 24 Pgs,Phase 2 (29 Apr),"2,60,147","2,69,049","2,58,217","-10,832",-403.0%,—,"26,864","12,828","13,785",47.8%
122,Minakhan,North 24 Pgs,Phase 2 (29 Apr),"2,37,158","2,46,513","2,39,612","-6,901",-280.0%,—,"32,614","15,932","16,501",48.9%
123,Sandeshkhali,North 24 Pgs,Phase 2 (29 Apr),"2,39,621","2,45,817","2,34,268","-11,549",-470.0%,? YES,"25,560","17,842","7,718",69.8%
124,Basirhat Dakshin,North 24 Pgs,Phase 2 (29 Apr),"2,77,109","2,80,513","2,67,983","-12,530",-447.0%,—,"20,109","12,401","7,703",61.7%
125,Basirhat Uttar,North 24 Pgs,Phase 2 (29 Apr),"2,68,830","2,77,849","2,70,775","-7,074",-255.0%,—,"41,186","17,286","23,900",42.0%
126,Hingalganj,North 24 Pgs,Phase 2 (29 Apr),"2,30,692","2,34,365","2,24,065","-10,300",-439.0%,—,"13,528","6,008","7,520",44.4%
127,Gosaba,South 24 Pgs,Phase 2 (29 Apr),"2,31,999","2,37,350","2,24,584","-12,766",-538.0%,—,"4,233",780,"3,453",18.4%
128,Basanti,South 24 Pgs,Phase 2 (29 Apr),"2,62,659","2,73,323","2,52,572","-20,751",-759.0%,—,"20,331","10,224","10,107",50.3%
129,Kultali,South 24 Pgs,Phase 2 (29 Apr),"2,66,969","2,84,695","2,63,256","-21,439",-753.0%,—,"14,836","11,339","3,497",76.4%
